Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Regulatory Quality: Number of Sources,RQ.NO.SRC,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,4,..,4,..,5,5,6,6,7,8,8,8,8,8,7,7,7,7,5,5,5,5,5,5,5,5,..
Regulatory Quality: Percentile Rank,RQ.PER.RNK,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.6739130020142,..,11.956521987915,..,10.8695650100708,..,16.2162170410156,15.6756753921509,13.9303483963013,18.1372547149658,8.33333301544189,7.28155326843262,13.5922327041626,20.5741634368896,21.0526313781738,19.9052124023438,4.7393364906311,3.79146909713745,3.8461537361145,3.80952382087708,3.80952382087708,3.33333325386047,3.33333325386047,3.33333325386047,3.33333325386047,4.2857141494751,3.77358484268188,3.77358484268188,..
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.89130449295044,..,3.26086950302124,..,4.34782600402832,..,5.94594573974609,7.56756734848022,6.46766185760498,9.80392169952393,2.94117641448975,2.91262125968933,3.88349509239197,8.13397121429443,10.0478467941284,8.53080558776855,1.42180097103119,1.42180097103119,1.92307686805725,1.90476191043854,1.90476191043854,0.476190477609634,1.42857146263123,1.42857146263123,0,1.42857146263123,0.471698105335236,0.471698105335236,..
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.543478012085,..,23.9130439758301,..,21.7391300201416,..,28.1081085205078,22.7027034759521,20.8955230712891,24.5098037719727,17.1568622589111,16.5048542022705,21.3592224121094,29.6650714874268,32.5358848571777,28.9099521636963,10.9004735946655,9.95260620117188,7.692307472229,6.66666650772095,7.61904764175415,6.1904764175415,7.61904764175415,6.66666650772095,6.66666650772095,9.0476188659668,6.13207530975342,7.54716968536377,..
Regulatory Quality: Standard Error,RQ.STD.ERR,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.311746507883072,..,0.33275631070137,..,0.307668596506119,..,0.231155306100845,0.195213377475739,0.199831008911133,0.171236142516136,0.20499649643898,0.206279173493385,0.202304676175117,0.190924033522606,0.191954478621483,0.192376807332039,0.2171870470047,0.214213505387306,0.223447576165199,0.220462307333946,0.248113602399826,0.234867542982101,0.233294412493706,0.229248687624931,0.247676745057106,0.235862553119659,0.242138430476189,0.242013409733772,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.4949616742744,22.0379341489449,21.015761821366,20.541224877354,16.8093795283889,15.1022864019254,13.9032768115152,13.3251332513325,12.760527435134,11.919891318638,12.9455526034025,12.8911350703804,8.86902509549138,9.45207056513053,13.1232035414783,12.4789752397309,10.6738459887885,9.08992805755396,7.07781000901933,4.38840399002494,5.65903949324543,7.93933374814531,10.1004322321704,12.0710052110267,9.80319544216002,2.25183657039348,5.05790026246719,3.64942395780317,3.54686098654709,3.55547085201794,3.85147619047619,3.905748293043,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4,2.1,2.2,2.2,2,1.8,1.6,1.7,1.6,1.8,2,2.1,1.6,1.9,2.6,2.1,1.8,1.5,1.2,0.9,1.4,1.6,2,3.1,2.7,0.6,1.3,1.1,0.9,1,1.1,1.1,..,..,..
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,Syrian Arab Republic,SYR,..,1481.06123062649,1438.09458516657,1395.56717615044,1353.55517948366,1312.17104881876,1271.51724704749,1231.73680761867,1192.89308687346,1154.94870907114,1117.76164312842,1080.918216685,1044.82492297126,1010.15237125904,976.697306002607,944.090065027314,912.333126953994,881.527608735232,851.810018656933,823.375078172721,796.189809775161,770.178664819908,745.050070979286,720.054268588117,695.235259930449,671.204607106261,648.196048221714,626.222514631103,605.316601291568,585.595275825885,566.967332124566,549.425956956035,532.81253373502,516.973204522051,501.950124090488,487.931661654284,474.893501869477,462.589951108938,450.809975694061,439.48565389297,428.660176099274,418.266296756301,408.28168367764,398.674156881299,388.943045093561,379.077575419402,363.191526698906,341.503414675022,329.627199586774,324.521547989625,317.225622632011,311.739201396899,313.360029276228,329.165427642521,351.786522600582,367.16294755449,371.577663951871,370.981699137795,364.289328064452,350.40597863742,338.821542380081,329.744929905854,317.51157824312,..,..
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,Syrian Arab Republic,SYR,..,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,7.132,..,..
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,9.76901,8.88612,8.96141,9.22225,9.62866,9.89525,9.1945,8.18047,8.02156,7.96842,7.16868,7.39966,7.50421,7.06728,7.04041,6.66691,6.32605,6.43452,6.49259,6.53001,6.26893,5.98232,6.39372,6.00665,6.36699,6.12096,6.27759,5.88271,5.6136,5.98886,6.04947,5.6921,6.90627,6.56398,6.43269,5.40276,5.92871,6.34187,6.53845,6.47949,6.39074,6.4086,6.39785,..,..,..,..,..,..,..,..,..,..,..
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,11.52914,9.5039,9.19622,9.31751,9.96405,10.29525,10.23967,9.23233,9.40629,9.42517,8.86762,8.81791,8.76149,8.27874,8.40462,8.17349,7.84397,7.72032,7.66294,8.0388,7.70857,7.60036,7.98436,7.93056,8.61249,8.19448,8.24105,7.74227,7.24978,8.02461,8.21665,7.70175,9.03809,8.30819,8.11013,7.34484,7.95672,8.48352,8.75942,8.62107,8.51976,8.38697,8.23237,..,..,..,..,..,..,..,..,..,..,..
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,10.88988,9.27288,9.10614,9.28033,9.83253,10.13671,9.82029,8.80548,8.83712,8.80873,8.13846,8.19794,8.20552,7.73555,7.78572,7.48259,7.14122,7.12387,7.11946,7.33755,7.03919,6.84795,7.24248,7.03286,7.56452,7.22727,7.32375,6.8679,6.4834,7.06787,7.1938,6.7524,8.02464,7.47819,7.3089,6.4158,6.98646,7.45747,7.69487,7.59501,7.49737,7.43726,7.35015,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01942,..,..,..,..,..,..,0.07306,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.04849,..,..,..,..,..,..,139.93785,..,..
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,191513086.918994,-102668412.943567,203024568.912547,-245243626.939384,-42626497.034863,-92268470.8348256,-145325751.777953,216416732.369689,-185567691.388495,61024496.4877648,78760772.8137123,-31985578.1751286,-65976241.8645143,36052738.9240317,72150132.5809239,75900678.9690828,304013874.175618,565969125.663037,839015120.991,987009083.7166,449007562.388852,434059956.181769,258997091.606681,813960518.241432,1020399922.92563,1049604409.60113,695013624.317489,251058948.984476,13996622.2912157,-912002381.738285,543540309.747074,49550701.2623238,348366109.300859,2076359280.41803,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1,6.3,3.6,2.9,4.4,3.8,4.3,4.2,3.4,5.5,11.5,19.1,33.2,31.9,45.2,74.1,57.8,87.5,..,..,..,..
Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.7,4.1,2.4,1.8,2.7,2.2,2.5,2.4,2,3.2,7,9,17.1,16.3,31.6,58.9,42.6,75.2,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rule of Law: Estimate,RL.EST,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.546156048774719,..,-0.537084102630615,..,-0.506055653095245,..,-0.560230851173401,-0.483061969280243,-0.476456582546234,-0.594401121139526,-0.930595397949219,-0.834666192531586,-0.721992611885071,-0.579241037368774,-0.593127608299255,-0.778770327568054,-1.1284441947937,-1.40674591064453,-1.35826134681702,-1.43668627738953,-1.99362325668335,-2.09795308113098,-2.05464148521423,-2.08824348449707,-2.08890843391418,-2.0821385383606,-2.06914091110229,-2.03518009185791,..
Rule of Law: Number of Sources,RL.NO.SRC,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,6,..,6,..,7,7,10,10,11,12,12,13,13,13,12,12,10,10,8,7,6,6,6,7,7,7,..
Rule of Law: Percentile Rank,RL.PER.RNK,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.165828704834,..,34.5,..,35.8208961486816,..,35.8208961486816,39.3034820556641,39.9038467407227,33.9712905883789,20.0956935882568,22.4880390167236,26.4423084259033,34.1232223510742,33.1753540039062,25.8215961456299,12.2065725326538,4.6948356628418,5.76923084259033,4.7619047164917,0.952380955219269,0.952380955219269,0.952380955219269,0.952380955219269,0.952380955219269,0.952380955219269,0.943396210670471,1.41509437561035,..
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",RL.PER.RNK.LOWER,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.1055278778076,..,21.5,..,26.3681583404541,..,21.8905467987061,25.3731346130371,24.0384616851807,21.0526313781738,10.0478467941284,12.4401912689209,16.8269233703613,22.274881362915,23.222749710083,15.4929580688477,5.16431903839111,0.938967108726501,1.44230771064758,0.952380955219269,0,0,0,0,0,0,0,0,..
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.226131439209,..,45.5,..,43.7810935974121,..,45.7711448669434,48.2587051391602,47.5961532592773,44.0191383361816,30.6220092773438,35.4067001342773,38.9423065185547,45.0236968994141,44.0758285522461,35.2112693786621,22.0657272338867,11.7370891571045,11.5384616851807,10.4761905670166,4.7619047164917,1.42857146263123,2.85714292526245,2.38095235824585,2.85714292526245,2.85714292526245,2.8301887512207,3.30188679695129,..
Rule of Law: Standard Error,RL.STD.ERR,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.212429106235504,..,0.221403405070305,..,0.183204844594002,..,0.19941021502018,0.202866226434708,0.18803483247757,0.182926073670387,0.173796996474266,0.163467511534691,0.159170255064964,0.158078342676163,0.156315863132477,0.148040413856506,0.161177277565002,0.163136750459671,0.182365939021111,0.18016391992569,0.217765867710114,0.201626300811768,0.19090348482132,0.190765514969826,0.170838728547096,0.183625265955925,0.192381978034973,0.192640483379364,..
Rural land area (sq. km),AG.LND.TOTL.RU.K2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,182449.692064426,..,..,..,..,..,..,..,..,..,181325.36483199,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180422.923132933,..,..,..,..,..,..,..,..,..
Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0178306662900229,..,..,..,..,..,..,..,..,..,0.0167219783282684,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0167294510390145,..,..,..,..,..,..,..,..,..
Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.0785914712,..,..,..,..,..,..,..,..,..,31.0218070775,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.0356700897,..,..,..,..,..,..,..,..,..
Rural population,SP.RUR.TOTL,Syrian Arab Republic,SYR,2953325,3014530,3072609,3133023,3195754,3260834,3328016,3396993,3467611,3540161,3614934,3711362,3817249,3925185,4035685,4150292,4269038,4391686,4517271,4644775,4773718,4904381,5047777,5202402,5366783,5536931,5710586,5887276,6066099,6245057,6424076,6602175,6780193,6959234,7137824,7293199,7438016,7579109,7718780,7857952,7995004,8131101,8265665,8399203,8541866,8695497,9004360,9499980,9763500,9837551,9982195,10391232,10570772,10285502,9832725,9291183,9052772,8939471,8974093,9195523,9372258,9489869,9710622,10049186,10351703
Rural population (% of total population),SP.RUR.TOTL.ZS,Syrian Arab Republic,SYR,63.193,62.601,61.956,61.306,60.651,59.994,59.333,58.668,57.999,57.329,56.655,56.249,55.922,55.595,55.267,54.939,54.61,54.282,53.952,53.623,53.292,52.962,52.732,52.524,52.316,52.109,51.901,51.693,51.485,51.277,51.069,50.861,50.653,50.445,50.236,49.896,49.527,49.159,48.79,48.422,48.053,47.686,47.318,46.951,46.583,46.218,45.854,45.489,45.125,44.763,44.4,45.42,46.445,47.471,48.5,47.832,47.165,46.5,45.838,45.179,44.525,43.876,43.231,42.591,41.956
Rural population growth (annual %),SP.RUR.TOTL.ZG,Syrian Arab Republic,SYR,..,2.05122765224873,1.90831070285824,1.94713153240797,1.98247005779553,2.01599371534412,2.0393339758697,2.05142978948682,2.05752556955988,2.07063221072978,2.09013918451736,2.63253269691023,2.81310809610014,2.78834777688179,2.77625679920661,2.80026413395007,2.82098159051249,2.83246989084016,2.8194842418421,2.78348814655836,2.73825242989729,2.70034310866853,2.88190610555468,3.0172493658807,3.11082180953151,3.12117160353686,3.08812692309927,3.04717665372529,2.99223176983772,2.90745412297395,2.82625363718685,2.73463329891511,2.66064274251006,2.60638431944467,2.53385571790882,2.15343020714947,1.9661876547577,1.87914999545888,1.82606738893291,1.78696922327022,1.72908339054119,1.68794921464249,1.64138490614761,1.6026632589016,1.68426647081298,1.78258203561285,3.49035990156747,5.35807888657835,2.73612493572936,0.755585527563331,1.45962080458547,4.01593676151248,1.71304604769325,-2.73575032530916,-4.50192225016649,-5.66502224115362,-2.59948767910518,-1.25945939794477,0.386545559659936,2.43748644054281,1.90373138986625,1.24707594464879,2.29955294017856,3.4271298275804,2.9659411038849
Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.109201402026146,..,..,..,..,..,..,..,..,..,0.0939209214914031,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.081846370703164,..,..,..,..,..,..,..,..,..
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, preprimary (% gross)",SE.PRE.ENRR,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,3.95222997665405,3.9663999080658,4.15564012527466,3.84130001068115,4.27058982849121,4.17955017089844,4.38255977630615,3.73184990882874,3.66571998596191,3.44491004943848,3.43506002426147,3.71911001205444,4.30911016464233,4.8232798576355,5.37860012054443,5.42105007171631,6.03766012191772,6.28457021713257,6.16143989562988,6.81867980957031,6.63030004501343,6.75094985961914,7.03629016876221,6.99394989013672,6.97457981109619,7.07605981826782,7.49337005615234,7.72474002838135,8.22484970092773,8.62765979766846,8.89651012420654,9.01041984558105,9.56595039367676,9.82145023345947,9.93570041656494,10.0958795547485,9.33238983154297,9.4693603515625,9.03252029418945,8.98215007781982,10.3702096939087,10.3957300186157,5.54877996444702,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,3.49482989311218,3.34043002128601,3.70141005516052,3.48633003234863,3.80630993843079,3.78958010673523,3.9294900894165,3.42893004417419,3.30796003341675,3.14590001106262,3.11981010437012,3.32508993148804,3.87486004829407,4.41102981567383,4.97967004776001,5.00626993179321,5.55922985076904,5.82267999649048,5.71252012252808,6.30906009674072,6.22362995147705,6.35226011276245,6.6065502166748,6.5800199508667,6.55454015731812,6.59505987167358,7.10577011108398,7.29020977020264,7.78436994552612,8.26099014282227,8.55788040161133,8.57962036132813,9.26457977294922,9.38144969940186,9.54388046264648,9.78178977966309,9.11340045928955,9.15694046020508,8.81649017333984,8.69653034210205,10.0380601882935,10.0802602767944,5.43798017501831,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,4.39885997772217,4.57649993896484,4.59747982025146,4.185959815979,4.72098016738892,4.55753993988037,4.82107019424438,4.02471017837524,4.01131010055542,3.73351001739502,3.73902010917664,4.0988302230835,4.72733020782471,5.22002983093262,5.76227998733521,5.81972980499268,6.49717998504639,6.72788000106812,6.59207010269165,7.30727005004883,7.02002000808716,7.13289022445679,7.44781017303467,7.3901801109314,7.37658977508545,7.53646993637085,7.86444997787476,8.14099979400635,8.6469202041626,8.97883033752441,9.22008037567139,9.42082023620605,9.85202980041504,10.2378702163696,10.3061304092407,10.3935203552246,9.53999996185303,9.76646041870117,9.23880958557129,9.25580978393555,10.6890497207642,10.6991100311279,5.65537023544312,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,79.7061386108398,83.5952835083008,88.425163269043,89.7783508300781,90.4840087890625,91.7642593383789,91.3732986450195,90.797721862793,90.8925476074219,92.3622512817383,93.6495590209961,95.4800491333008,96.3466415405273,98.7091979980469,100.520248413086,102.509407043457,105.642951965332,105.484703063965,106.797706604004,106.516868591309,107.964431762695,108.85523223877,107.314872741699,106.499938964844,104.838661193848,103.528953552246,102.427688598633,101.310081481934,101.921943664551,102.303161621094,103.400413513184,104.690322875977,113.06861114502,114.180770874023,116.219108581543,116.517631530762,115.950576782227,115.694946289062,115.827239990234,116.733467102051,119.229217529297,120.19310760498,72.3519897460938,..,..,..,..,..,..,70.3771514892578,68.5588684082031,72.1296768188477,76.7710494995117,81.4114685058594
"School enrollment, primary (% net)",SE.PRM.NENR,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,72.8804,..,81.93558,83.57957,83.73304,84.46257,85.35489,85.05841,84.88067,85.78521,85.79782,86.06373,86.49661,88.33161,89.81324,91.45233,94.83507,94.70753,95.03837,94.73268,95.76462,96.16329,96.20813,96.43579,96.46908,96.37966,95.58284,94.04512,93.53928,93.86005,94.56479,94.88283,91.70143,92.51197,92.57075,89.91412,91.00896,91.75748,92.80847,92.96128,..,..,67.96461,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,0.580399990081787,0.608500003814697,0.635060012340546,0.654190003871918,0.660380005836487,0.673030018806458,0.688069999217987,0.702269971370697,0.718640029430389,0.756470024585724,0.776530027389526,0.802770018577576,0.820280015468597,0.841989994049072,0.861069977283478,0.879050016403198,0.895449995994568,0.899420022964478,0.901880025863647,0.903970003128052,0.905260026454926,0.905939996242523,0.911539971828461,0.912710011005402,0.913309991359711,0.912429988384247,0.914889991283417,0.925530016422272,0.918569982051849,0.925130009651184,0.934660017490387,0.940169990062714,0.956539988517761,0.962539970874786,0.971379995346069,0.972959995269775,0.97298002243042,0.972949981689453,0.969900012016296,0.965409994125366,0.967079997062683,0.963620007038116,0.965550005435944,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,0.512619972229004,0.536400020122528,0.559310019016266,0.578750014305115,0.592499971389771,0.607050001621246,0.626219987869263,0.64165997505188,0.660529971122742,0.698310017585754,0.7189000248909,0.740750014781952,0.756820023059845,0.775560021400452,0.796350002288818,0.814769983291626,0.828329980373383,0.836860001087189,0.840910017490387,0.850170016288757,0.855440020561218,0.865540027618408,0.88128000497818,0.884790003299713,0.891149997711182,0.901520013809204,0.910109996795654,0.917980015277863,0.917630016803741,0.923020005226135,0.925450026988983,0.931280016899109,0.946950018405914,0.955060005187988,0.964129984378815,0.972220003604889,0.982680022716522,0.986959993839264,0.988699972629547,0.985610008239746,0.98429000377655,0.983579993247986,0.982309997081757,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,59.431999206543,64.1524810791016,69.5905838012695,71.8549118041992,72.7322311401367,74.5200576782227,75.0818176269531,75.4215087890625,76.4419021606445,79.94287109375,82.1933670043945,85.344596862793,87.1258926391602,90.5295333862305,93.3041381835938,96.2084884643555,100.121223449707,100.185600280762,101.55785369873,101.38533782959,102.802673339844,103.651062011719,102.474632263184,101.724838256836,100.140090942383,98.8241729736328,97.9134521484375,97.4675827026367,97.6809310913086,98.3787078857422,99.8611831665039,101.199920654297,110.004760742188,111.199897766113,113.614418029785,114.084259033203,113.527709960938,113.410118103027,113.591812133789,114.426879882812,117.143440246582,118.059143066406,71.2138290405273,..,..,..,..,..,..,70.2641296386719,68.5865097045898,72.0852432250977,76.7958068847656,81.5138473510742
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,54.53103,..,64.77191,..,..,..,..,70.67829,71.65629,74.63192,75.87662,77.6257,78.88,81.55799,83.88293,86.26913,90.31361,90.36516,90.98338,90.57479,..,..,..,..,..,92.60985,92.0179,90.93969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.03999,..,..,..,..,..,..,..,..,..,..,..
